instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a10_b10_c60_v1.col,10,10,60,1,360,350,351,0.001493358,61,0.000191505,351,0.00125348
galaxy_a10_b10_c60_v2.col,10,10,60,2,261,251,252,0.000815151,51,0.000138379,252,0.000655993
galaxy_a10_b10_c60_v3.col,10,10,60,3,259,249,250,0.000771533,53,0.000124115,250,0.000664817
galaxy_a10_b10_c60_v4.col,10,10,60,4,402,392,393,0.001879932,59,0.000230552,393,0.001573252
galaxy_a10_b10_c60_v5.col,10,10,60,5,341,331,332,0.001363027,59,0.000196057,332,0.001118603
galaxy_a10_b10_c70_v1.col,10,10,70,1,458,448,449,0.002403258,61,0.000277461,449,0.002047529
galaxy_a10_b10_c70_v2.col,10,10,70,2,492,482,483,0.002768184,65,0.000296516,483,0.00235927
galaxy_a10_b10_c70_v3.col,10,10,70,3,447,437,438,0.002299539,72,0.000272783,438,0.00191092
galaxy_a10_b10_c70_v4.col,10,10,70,4,430,420,421,0.002152283,69,0.000253836,421,0.001795456
galaxy_a10_b10_c70_v5.col,10,10,70,5,456,446,447,0.002378537,69,0.000275813,447,0.002080986
galaxy_a10_b10_c80_v1.col,10,10,80,1,469,459,460,0.002526029,77,0.000277329,460,0.002101862
galaxy_a10_b10_c80_v2.col,10,10,80,2,519,509,510,0.003065281,79,0.000361961,510,0.002595523
galaxy_a10_b10_c80_v3.col,10,10,80,3,575,565,566,0.00376609,82,0.000391805,566,0.003201771
galaxy_a10_b10_c80_v4.col,10,10,80,4,435,425,426,0.002173719,75,0.000249441,426,0.001802268
galaxy_a10_b10_c80_v5.col,10,10,80,5,424,414,415,0.002078344,77,0.0002418,415,0.00173453
galaxy_a10_b10_c90_v1.col,10,10,90,1,550,540,541,0.003554771,90,0.000381884,541,0.002912198
galaxy_a10_b10_c90_v2.col,10,10,90,2,618,608,609,0.004494536,85,0.000503226,609,0.003823923
galaxy_a10_b10_c90_v3.col,10,10,90,3,438,428,429,0.002203529,71,0.000262661,429,0.001854865
galaxy_a10_b10_c90_v4.col,10,10,90,4,475,465,466,0.002609226,89,0.000302592,466,0.002169709
galaxy_a10_b10_c90_v5.col,10,10,90,5,593,583,584,0.004025041,87,0.000446619,584,0.003430222
galaxy_a15_b10_c100_v1.col,15,10,100,1,876,861,862,0.009033928,94,0.000787104,862,0.007740866
galaxy_a15_b10_c100_v2.col,15,10,100,2,750,735,736,0.006569353,100,0.000630753,736,0.005585608
galaxy_a15_b10_c100_v3.col,15,10,100,3,939,924,925,0.010251312,102,0.000840461,925,0.008951639
galaxy_a15_b10_c100_v4.col,15,10,100,4,774,759,760,0.006966967,90,0.000638619,760,0.006011246
galaxy_a15_b10_c100_v5.col,15,10,100,5,783,768,769,0.007103705,99,0.000648778,769,0.006094499
galaxy_a15_b10_c20_v1.col,15,10,20,1,251,236,237,0.000744975,26,0.000117957,237,0.000644152
galaxy_a15_b10_c20_v2.col,15,10,20,2,265,250,251,0.000831489,27,0.000135333,251,0.000701133
galaxy_a15_b10_c20_v3.col,15,10,20,3,239,224,225,0.000671777,25,0.000101231,225,0.000574177
galaxy_a15_b10_c20_v4.col,15,10,20,4,232,217,218,0.000632972,25,9.8388e-5,218,0.000559343
galaxy_a15_b10_c20_v5.col,15,10,20,5,248,233,234,0.000724253,26,0.000124863,234,0.000604049
galaxy_a15_b10_c30_v1.col,15,10,30,1,305,290,291,0.001073302,31,0.000155565,291,0.000916549
galaxy_a15_b10_c30_v2.col,15,10,30,2,308,293,294,0.001105894,29,0.000152513,294,0.000924368
galaxy_a15_b10_c30_v3.col,15,10,30,3,319,304,305,0.001188396,31,0.0001671,305,0.00099695
galaxy_a15_b10_c30_v4.col,15,10,30,4,300,285,286,0.001051358,31,0.000143507,286,0.000881631
galaxy_a15_b10_c30_v5.col,15,10,30,5,345,330,331,0.001375104,32,0.00017535,331,0.001158413
galaxy_a15_b10_c40_v1.col,15,10,40,1,423,408,409,0.002063811,40,0.000233851,409,0.001723553
galaxy_a15_b10_c40_v2.col,15,10,40,2,435,420,421,0.002195771,41,0.000240543,421,0.001878356
galaxy_a15_b10_c40_v3.col,15,10,40,3,358,343,344,0.001497205,41,0.000186001,344,0.001246042
