b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,80,0.13647,0.0005,657,642,4,78.0,15,galaxy_a15_b10_c80_v4.col,0.0
10,80,0.26965,0.0734,832,817,5,82.0,15,galaxy_a15_b10_c80_v5.col,0.0
10,90,0.15413,0.0034,705,690,1,85.0,15,galaxy_a15_b10_c90_v1.col,0.0
10,90,0.18654,0.0012,820,805,2,89.0,15,galaxy_a15_b10_c90_v2.col,0.0
10,90,0.1762,0.0008,782,767,3,83.0,15,galaxy_a15_b10_c90_v3.col,0.0
10,90,0.15652,0.0003,711,696,4,91.0,15,galaxy_a15_b10_c90_v4.col,0.0
10,90,0.14078,0.0004,666,651,5,91.0,15,galaxy_a15_b10_c90_v5.col,0.0
10,100,0.33807,0.0738,1027,1007,1,95.0,20,galaxy_a20_b10_c100_v1.col,0.0
10,100,0.33057,0.0042,1192,1172,2,94.2,20,galaxy_a20_b10_c100_v2.col,0.2
10,100,0.2771,0.0012,1059,1039,3,99.0,20,galaxy_a20_b10_c100_v3.col,0.0
10,100,0.29389,0.0006,1104,1084,4,94.0,20,galaxy_a20_b10_c100_v4.col,0.0
10,100,0.33151,0.0007,1189,1169,5,99.0,20,galaxy_a20_b10_c100_v5.col,0.0
10,20,0.03958,0.0005,289,269,1,30.2,20,galaxy_a20_b10_c20_v1.col,0.3742
10,20,0.04527,0.0004,327,307,2,33.0,20,galaxy_a20_b10_c20_v2.col,0.0
10,20,0.04478,0.0001,318,298,3,31.8,20,galaxy_a20_b10_c20_v3.col,0.3742
10,20,0.04225,0.0006,309,289,4,30.8,20,galaxy_a20_b10_c20_v4.col,0.2
10,20,0.04447,0.0004,318,298,5,30.6,20,galaxy_a20_b10_c20_v5.col,0.2449
10,30,0.05709,0.0005,391,371,1,34.6,20,galaxy_a20_b10_c30_v1.col,0.5099
10,30,0.06948,0.0006,448,428,2,37.4,20,galaxy_a20_b10_c30_v2.col,0.4
10,30,0.06699,0.0006,433,413,3,37.0,20,galaxy_a20_b10_c30_v3.col,0.3162
10,30,0.06547,0.0002,429,409,4,37.2,20,galaxy_a20_b10_c30_v4.col,0.2
10,30,0.07139,0.0076,427,407,5,38.0,20,galaxy_a20_b10_c30_v5.col,0.3162
10,40,0.1757,0.0663,595,575,1,46.8,20,galaxy_a20_b10_c40_v1.col,0.4899
10,40,0.09927,0.0014,580,560,2,46.0,20,galaxy_a20_b10_c40_v2.col,0.3162
10,40,0.08163,0.0017,503,483,3,42.8,20,galaxy_a20_b10_c40_v3.col,0.2
10,40,0.07651,0.0017,483,463,4,41.8,20,galaxy_a20_b10_c40_v4.col,0.3742
10,40,0.09242,0.0011,545,525,5,45.4,20,galaxy_a20_b10_c40_v5.col,0.2449
10,50,0.11436,0.0009,621,601,1,51.4,20,galaxy_a20_b10_c50_v1.col,0.5099
10,50,0.13006,0.0004,674,654,2,53.2,20,galaxy_a20_b10_c50_v2.col,0.3742
10,50,0.14365,0.0004,710,690,3,53.8,20,galaxy_a20_b10_c50_v3.col,0.3742
10,50,0.10677,0.001,589,569,4,51.4,20,galaxy_a20_b10_c50_v4.col,0.2449
10,50,0.121,0.0009,643,623,5,53.4,20,galaxy_a20_b10_c50_v5.col,0.2449
10,60,0.25911,0.0662,845,825,1,61.6,20,galaxy_a20_b10_c60_v1.col,0.5099
10,60,0.13879,0.0037,688,668,2,58.0,20,galaxy_a20_b10_c60_v2.col,0.0
10,60,0.15357,0.0018,755,735,3,61.2,20,galaxy_a20_b10_c60_v3.col,0.2
10,60,0.15032,0.0015,743,723,4,58.8,20,galaxy_a20_b10_c60_v4.col,0.2
10,60,0.13208,0.0008,678,658,5,60.0,20,galaxy_a20_b10_c60_v5.col,0.0
10,70,0.19257,0.0008,863,843,1,71.0,20,galaxy_a20_b10_c70_v1.col,0.0
10,70,0.1176,0.0004,624,604,2,55.2,20,galaxy_a20_b10_c70_v2.col,0.2
10,70,0.25575,0.067,825,805,3,66.2,20,galaxy_a20_b10_c70_v3.col,0.2
10,70,0.17474,0.0037,818,798,4,65.0,20,galaxy_a20_b10_c70_v4.col,0.3162
10,70,0.16911,0.0015,819,799,5,63.6,20,galaxy_a20_b10_c70_v5.col,0.2449
10,80,0.212,0.0008,923,903,1,78.0,20,galaxy_a20_b10_c80_v1.col,0.0
10,80,0.21129,0.001,918,898,2,78.2,20,galaxy_a20_b10_c80_v2.col,0.2
10,80,0.25747,0.0005,1028,1008,3,78.2,20,galaxy_a20_b10_c80_v3.col,0.2
10,80,0.28074,0.0751,867,847,4,81.0,20,galaxy_a20_b10_c80_v4.col,0.0
10,80,0.23798,0.0025,999,979,5,75.6,20,galaxy_a20_b10_c80_v5.col,0.2449
10,90,0.24504,0.0014,1013,993,1,86.0,20,galaxy_a20_b10_c90_v1.col,0.0
10,90,0.25284,0.0008,1017,997,2,91.0,20,galaxy_a20_b10_c90_v2.col,0.0
10,90,0.19487,0.0006,841,821,3,87.0,20,galaxy_a20_b10_c90_v3.col,0.0
10,90,0.33646,0.0655,1028,1008,4,85.0,20,galaxy_a20_b10_c90_v4.col,0.0
10,90,0.27316,0.0047,1063,1043,5,88.0,20,galaxy_a20_b10_c90_v5.col,0.0
10,100,0.41355,0.0013,1373,1348,1,99.2,25,galaxy_a25_b10_c100_v1.col,0.2
10,100,0.45183,0.0015,1480,1455,2,98.0,25,galaxy_a25_b10_c100_v2.col,0.0
10,100,0.58594,0.0756,1574,1549,3,101.4,25,galaxy_a25_b10_c100_v3.col,0.4
10,100,0.53528,0.0016,1630,1605,4,101.0,25,galaxy_a25_b10_c100_v4.col,0.0
10,100,0.43921,0.0018,1456,1431,5,97.2,25,galaxy_a25_b10_c100_v5.col,0.2
10,20,0.05714,0.0004,387,362,1,35.8,25,galaxy_a25_b10_c20_v1.col,0.3742
10,20,0.05964,0.0005,398,373,2,36.4,25,galaxy_a25_b10_c20_v2.col,0.2449
10,20,0.05853,0.0002,403,378,3,36.4,25,galaxy_a25_b10_c20_v3.col,0.2449
