b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,30,0.06803,0.0034,300,285,4,31.2,15,galaxy_a15_b10_c30_v4.col,0.2
10,30,0.07577,0.0008,345,330,5,34.2,15,galaxy_a15_b10_c30_v5.col,0.3742
10,40,0.13037,0.0185,423,408,1,41.4,15,galaxy_a15_b10_c40_v1.col,0.2449
10,40,0.109,0.0005,435,420,2,43.4,15,galaxy_a15_b10_c40_v2.col,0.2449
10,40,0.08523,0.0013,358,343,3,41.0,15,galaxy_a15_b10_c40_v3.col,0.0
10,40,0.08044,0.0029,341,326,4,38.0,15,galaxy_a15_b10_c40_v4.col,0.0
10,40,0.08393,0.0008,360,345,5,39.6,15,galaxy_a15_b10_c40_v5.col,0.2449
10,50,0.12347,0.0029,461,446,1,48.0,15,galaxy_a15_b10_c50_v1.col,0.0
10,50,0.13961,0.0133,465,450,2,50.0,15,galaxy_a15_b10_c50_v2.col,0.0
10,50,0.17997,0.0142,546,531,3,51.0,15,galaxy_a15_b10_c50_v3.col,0.0
10,50,0.10465,0.0083,372,357,4,49.0,15,galaxy_a15_b10_c50_v4.col,0.0
10,50,0.15549,0.0116,497,482,5,51.2,15,galaxy_a15_b10_c50_v5.col,0.2
10,60,0.22251,0.0223,599,584,1,59.6,15,galaxy_a15_b10_c60_v1.col,0.2449
10,60,0.21593,0.0189,580,565,2,61.0,15,galaxy_a15_b10_c60_v2.col,0.0
10,60,0.17599,0.0191,510,495,3,60.0,15,galaxy_a15_b10_c60_v3.col,0.0
10,60,0.14738,0.0084,509,494,4,56.0,15,galaxy_a15_b10_c60_v4.col,0.0
10,60,0.17742,0.0144,537,522,5,60.0,15,galaxy_a15_b10_c60_v5.col,0.0
10,70,0.13214,0.0004,487,472,1,67.0,15,galaxy_a15_b10_c70_v1.col,0.0
10,70,0.15272,0.0007,547,532,2,62.0,15,galaxy_a15_b10_c70_v2.col,0.0
10,70,0.21962,0.0349,590,575,3,59.0,15,galaxy_a15_b10_c70_v3.col,0.0
10,70,0.42935,0.1566,674,659,4,71.0,15,galaxy_a15_b10_c70_v4.col,0.0
10,70,0.26912,0.0101,712,697,5,70.0,15,galaxy_a15_b10_c70_v5.col,0.0
10,80,0.18684,0.014,551,536,1,74.0,15,galaxy_a15_b10_c80_v1.col,0.0
10,80,0.22779,0.0016,694,679,2,76.0,15,galaxy_a15_b10_c80_v2.col,0.0
10,80,0.19796,0.0126,589,574,3,80.0,15,galaxy_a15_b10_c80_v3.col,0.0
10,80,0.24819,0.0234,657,642,4,78.0,15,galaxy_a15_b10_c80_v4.col,0.0
10,80,0.32997,0.0089,832,817,5,81.6,15,galaxy_a15_b10_c80_v5.col,0.2449
10,90,0.25732,0.0105,705,690,1,85.0,15,galaxy_a15_b10_c90_v1.col,0.0
10,90,0.36394,0.0216,820,805,2,89.0,15,galaxy_a15_b10_c90_v2.col,0.0
10,90,0.3802,0.1042,782,767,3,83.0,15,galaxy_a15_b10_c90_v3.col,0.0
10,90,0.26799,0.0211,711,696,4,91.0,15,galaxy_a15_b10_c90_v4.col,0.0
10,90,0.21948,0.0017,666,651,5,91.0,15,galaxy_a15_b10_c90_v5.col,0.0
10,100,0.43491,0.008,1027,1007,1,95.0,20,galaxy_a20_b10_c100_v1.col,0.0
10,100,0.54053,0.0036,1192,1172,2,94.4,20,galaxy_a20_b10_c100_v2.col,0.2449
10,100,0.62808,0.1408,1059,1039,3,99.0,20,galaxy_a20_b10_c100_v3.col,0.0
10,100,0.49716,0.0193,1104,1084,4,94.0,20,galaxy_a20_b10_c100_v4.col,0.0
10,100,0.58853,0.0307,1189,1169,5,99.0,20,galaxy_a20_b10_c100_v5.col,0.0
10,20,0.08416,0.0135,289,269,1,30.2,20,galaxy_a20_b10_c20_v1.col,0.2
10,20,0.0725,0.0002,327,307,2,32.2,20,galaxy_a20_b10_c20_v2.col,0.2
10,20,0.0938,0.016,318,298,3,31.6,20,galaxy_a20_b10_c20_v3.col,0.2449
10,20,0.07114,0.0035,309,289,4,31.0,20,galaxy_a20_b10_c20_v4.col,0.0
10,20,0.07188,0.0006,318,298,5,31.2,20,galaxy_a20_b10_c20_v5.col,0.2
10,30,0.09915,0.0057,391,371,1,34.4,20,galaxy_a20_b10_c30_v1.col,0.2449
10,30,0.1152,0.001,448,428,2,38.2,20,galaxy_a20_b10_c30_v2.col,0.3742
10,30,0.10835,0.0008,433,413,3,38.0,20,galaxy_a20_b10_c30_v3.col,0.4472
10,30,0.10604,0.0006,429,409,4,37.0,20,galaxy_a20_b10_c30_v4.col,0.3162
10,30,0.1072,0.0009,427,407,5,37.4,20,galaxy_a20_b10_c30_v5.col,0.2449
10,40,0.16717,0.0014,595,575,1,46.8,20,galaxy_a20_b10_c40_v1.col,0.3742
10,40,0.16196,0.0008,580,560,2,44.8,20,galaxy_a20_b10_c40_v2.col,0.3742
10,40,0.13722,0.0046,503,483,3,43.2,20,galaxy_a20_b10_c40_v3.col,0.2
10,40,0.11955,0.006,483,463,4,42.0,20,galaxy_a20_b10_c40_v4.col,0.4472
10,40,0.16448,0.0099,545,525,5,45.2,20,galaxy_a20_b10_c40_v5.col,0.3742
10,50,0.20084,0.0183,621,601,1,50.8,20,galaxy_a20_b10_c50_v1.col,0.3742
10,50,0.36542,0.1407,674,654,2,53.6,20,galaxy_a20_b10_c50_v2.col,0.2449
10,50,0.23088,0.0054,710,690,3,54.4,20,galaxy_a20_b10_c50_v3.col,0.4
10,50,0.16806,0.0031,589,569,4,51.4,20,galaxy_a20_b10_c50_v4.col,0.2449
10,50,0.23241,0.0291,643,623,5,53.0,20,galaxy_a20_b10_c50_v5.col,0.3162
10,60,0.29618,0.0014,845,825,1,61.8,20,galaxy_a20_b10_c60_v1.col,0.4899
10,60,0.25168,0.0171,688,668,2,58.0,20,galaxy_a20_b10_c60_v2.col,0.0
