instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a15_b10_c50_v1.col,15,10,50,1,461,446,48.0,0.0,0.42657,0.0776
galaxy_a15_b10_c50_v2.col,15,10,50,2,465,450,50.0,0.0,0.26014,0.0014
galaxy_a15_b10_c50_v3.col,15,10,50,3,546,531,51.0,0.0,0.52376,0.011
galaxy_a15_b10_c50_v4.col,15,10,50,4,372,357,49.0,0.0,0.22606,0.0666
galaxy_a15_b10_c50_v5.col,15,10,50,5,497,482,51.0,0.0,0.3837,0.0159
galaxy_a15_b10_c60_v1.col,15,10,60,1,599,584,59.0,0.0,0.63804,0.0835
galaxy_a15_b10_c60_v2.col,15,10,60,2,580,565,61.0,0.0,0.31255,0.001
galaxy_a15_b10_c60_v3.col,15,10,60,3,510,495,60.0,0.0,0.3889,0.0737
galaxy_a15_b10_c60_v4.col,15,10,60,4,509,494,56.0,0.0,0.27371,0.0106
galaxy_a15_b10_c60_v5.col,15,10,60,5,537,522,60.0,0.0,0.29028,0.0099
galaxy_a15_b10_c70_v1.col,15,10,70,1,487,472,67.0,0.0,0.35573,0.0563
galaxy_a15_b10_c70_v2.col,15,10,70,2,547,532,62.0,0.0,0.3141,0.0117
galaxy_a15_b10_c70_v3.col,15,10,70,3,590,575,59.0,0.0,0.45113,0.0727
galaxy_a15_b10_c70_v4.col,15,10,70,4,674,659,71.0,0.0,0.43647,0.0176
galaxy_a15_b10_c70_v5.col,15,10,70,5,712,697,70.0,0.0,0.65863,0.0959
galaxy_a15_b10_c80_v1.col,15,10,80,1,551,536,74.0,0.0,0.33468,0.0743
galaxy_a15_b10_c80_v2.col,15,10,80,2,694,679,76.0,0.0,0.42236,0.0012
galaxy_a15_b10_c80_v3.col,15,10,80,3,589,574,80.0,0.0,0.35799,0.0637
galaxy_a15_b10_c80_v4.col,15,10,80,4,657,642,78.0,0.0,0.44987,0.0138
galaxy_a15_b10_c80_v5.col,15,10,80,5,832,817,81.0,0.0,1.14103,0.0619
galaxy_a15_b10_c90_v1.col,15,10,90,1,705,690,85.0,0.0,0.36329,0.0144
galaxy_a15_b10_c90_v2.col,15,10,90,2,820,805,89.0,0.0,0.88843,0.0953
galaxy_a15_b10_c90_v3.col,15,10,90,3,782,767,83.0,0.0,0.69245,0.0906
galaxy_a15_b10_c90_v4.col,15,10,90,4,711,696,91.0,0.0,0.30532,0.001
galaxy_a15_b10_c90_v5.col,15,10,90,5,666,651,91.0,0.0,0.35301,0.0743
galaxy_a20_b10_c100_v1.col,20,10,100,1,1027,1007,95.0,0.0,0.64667,0.0017
galaxy_a20_b10_c100_v2.col,20,10,100,2,1192,1172,94.0,0.0,1.58819,0.0851
galaxy_a20_b10_c100_v3.col,20,10,100,3,1059,1039,99.0,0.0,1.21074,0.104
galaxy_a20_b10_c100_v4.col,20,10,100,4,1104,1084,94.0,0.0,1.09808,0.1021
galaxy_a20_b10_c100_v5.col,20,10,100,5,1189,1169,99.0,0.0,1.22009,0.1226
galaxy_a20_b10_c20_v1.col,20,10,20,1,289,269,29.4,0.2449,0.89469,0.1984
galaxy_a20_b10_c20_v2.col,20,10,20,2,327,307,31.0,0.0,0.59579,0.0558
galaxy_a20_b10_c20_v3.col,20,10,20,3,318,298,29.8,0.2,0.93512,0.3897
galaxy_a20_b10_c20_v4.col,20,10,20,4,309,289,28.2,0.2,1.69332,0.3172
galaxy_a20_b10_c20_v5.col,20,10,20,5,318,298,28.4,0.2449,1.33159,0.2831
galaxy_a20_b10_c30_v1.col,20,10,30,1,391,371,30.8,0.2,0.90106,0.166
galaxy_a20_b10_c30_v2.col,20,10,30,2,448,428,34.0,0.3162,1.86321,0.7324
galaxy_a20_b10_c30_v3.col,20,10,30,3,433,413,33.0,0.0,0.94843,0.1612
galaxy_a20_b10_c30_v4.col,20,10,30,4,429,409,32.8,0.3742,1.60346,0.447
galaxy_a20_b10_c30_v5.col,20,10,30,5,427,407,33.0,0.0,3.13436,1.6098
galaxy_a20_b10_c40_v1.col,20,10,40,1,595,575,43.0,0.0,1.27489,0.1292
galaxy_a20_b10_c40_v2.col,20,10,40,2,580,560,42.2,0.2,1.99487,0.397
galaxy_a20_b10_c40_v3.col,20,10,40,3,503,483,41.6,0.2449,2.175,1.0222
galaxy_a20_b10_c40_v4.col,20,10,40,4,483,463,41.0,0.0,0.41385,0.0137
galaxy_a20_b10_c40_v5.col,20,10,40,5,545,525,41.0,0.0,1.71099,0.4309
galaxy_a20_b10_c50_v1.col,20,10,50,1,621,601,49.0,0.0,0.94713,0.0839
galaxy_a20_b10_c50_v2.col,20,10,50,2,674,654,51.0,0.0,0.98553,0.1099
galaxy_a20_b10_c50_v3.col,20,10,50,3,710,690,52.0,0.0,1.00642,0.1255
galaxy_a20_b10_c50_v4.col,20,10,50,4,589,569,51.0,0.0,0.55456,0.083
galaxy_a20_b10_c50_v5.col,20,10,50,5,643,623,51.0,0.0,2.77373,0.3299
galaxy_a20_b10_c60_v1.col,20,10,60,1,845,825,59.0,0.0,1.92027,0.1934
galaxy_a20_b10_c60_v2.col,20,10,60,2,688,668,58.0,0.0,0.61512,0.0658
galaxy_a20_b10_c60_v3.col,20,10,60,3,755,735,61.0,0.0,0.81393,0.0813
galaxy_a20_b10_c60_v4.col,20,10,60,4,743,723,58.0,0.0,0.93831,0.0949
galaxy_a20_b10_c60_v5.col,20,10,60,5,678,658,60.0,0.0,0.57391,0.074
galaxy_a20_b10_c70_v1.col,20,10,70,1,863,843,71.0,0.0,0.7645,0.0825
galaxy_a20_b10_c70_v2.col,20,10,70,2,624,604,55.0,0.0,0.61869,0.082
galaxy_a20_b10_c70_v3.col,20,10,70,3,825,805,66.0,0.0,0.83927,0.049
galaxy_a20_b10_c70_v4.col,20,10,70,4,818,798,64.0,0.0,1.11986,0.1031
galaxy_a20_b10_c70_v5.col,20,10,70,5,819,799,63.0,0.0,0.9223,0.0808
galaxy_a20_b10_c80_v1.col,20,10,80,1,923,903,78.0,0.0,1.06971,0.0773
galaxy_a20_b10_c80_v2.col,20,10,80,2,918,898,78.0,0.0,0.99119,0.0883
galaxy_a20_b10_c80_v3.col,20,10,80,3,1028,1008,78.0,0.0,1.36184,0.0867
galaxy_a20_b10_c80_v4.col,20,10,80,4,867,847,81.0,0.0,0.79526,0.0563
galaxy_a20_b10_c80_v5.col,20,10,80,5,999,979,75.0,0.0,1.27329,0.0918
galaxy_a20_b10_c90_v1.col,20,10,90,1,1013,993,86.0,0.0,0.75062,0.0606
galaxy_a20_b10_c90_v2.col,20,10,90,2,1017,997,91.0,0.0,0.69656,0.0744
galaxy_a20_b10_c90_v3.col,20,10,90,3,841,821,87.0,0.0,0.54453,0.0739
galaxy_a20_b10_c90_v4.col,20,10,90,4,1028,1008,85.0,0.0,0.95433,0.0732
galaxy_a20_b10_c90_v5.col,20,10,90,5,1063,1043,88.0,0.0,0.86919,0.0753
galaxy_a25_b10_c100_v1.col,25,10,100,1,1373,1348,99.0,0.0,1.99396,0.0821
galaxy_a25_b10_c100_v2.col,25,10,100,2,1480,1455,98.0,0.0,1.91465,0.0917
galaxy_a25_b10_c100_v3.col,25,10,100,3,1574,1549,101.0,0.0,2.64569,0.0836
galaxy_a25_b10_c100_v4.col,25,10,100,4,1630,1605,101.0,0.0,2.45251,0.1235
galaxy_a25_b10_c100_v5.col,25,10,100,5,1456,1431,97.0,0.0,2.02385,0.1303
galaxy_a25_b10_c20_v1.col,25,10,20,1,387,362,33.8,0.4899,2.16215,0.8228
galaxy_a25_b10_c20_v2.col,25,10,20,2,398,373,33.4,0.2449,1.91391,0.1653
galaxy_a25_b10_c20_v3.col,25,10,20,3,403,378,33.6,0.2449,2.01131,0.5662
galaxy_a25_b10_c20_v4.col,25,10,20,4,372,347,32.8,0.2,2.33852,0.54
