instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a30_b10_c70_v1.col,30,10,70,1,1148,1118,71.0,0.0,1.57926,0.0652,120.5478286743164,93.81536560058593
galaxy_a30_b10_c80_v1.col,30,10,80,1,1403,1373,81.0,0.0,2.07727,0.0653,120.39228820800781,75.37339324951172
galaxy_a30_b10_c90_v1.col,30,10,90,1,1608,1578,92.0,0.0,3.36655,0.0754,84.83267211914062,79.16159362792969
galaxy_a35_b10_c100_v1.col,35,10,100,1,1935,1900,101.0,0.0,3.73468,0.1395,106.22522735595703,100.75598754882813
galaxy_a35_b10_c20_v1.col,35,10,20,1,556,521,43.2,0.2,5.20214,2.4044,336.4065399169922,159.1790740966797
galaxy_a35_b10_c30_v1.col,35,10,30,1,743,708,46.0,0.0,2.8451,0.3777,149.9372787475586,106.41944732666016
galaxy_a35_b10_c40_v1.col,35,10,40,1,996,961,51.8,0.7348,4.6783,0.234,150.72672271728516,120.53556365966797
galaxy_a35_b10_c50_v1.col,35,10,50,1,1115,1080,54.2,0.3742,4.91863,0.3977,159.86575317382812,118.29355926513672
galaxy_a35_b10_c60_v1.col,35,10,60,1,1295,1260,61.6,0.4,12.50373,3.533,436.9021987915039,229.51934967041015
galaxy_a35_b10_c70_v1.col,35,10,70,1,1521,1486,72.0,0.0,6.61872,0.6007,165.92255401611328,130.70623626708985
galaxy_a35_b10_c80_v1.col,35,10,80,1,1668,1633,81.0,0.0,5.14306,0.2575,161.04171752929688,124.83782958984375
galaxy_a35_b10_c90_v1.col,35,10,90,1,1716,1681,90.0,0.0,3.30778,0.1151,109.19173431396484,85.9264633178711
galaxy_a40_b10_c100_v1.col,40,10,100,1,2441,2401,102.2,0.2,36.423,8.8296,691.3315048217773,378.3497024536133
galaxy_a40_b10_c20_v1.col,40,10,20,1,637,597,48.2,0.2,4.79397,0.725,215.5176239013672,151.90250244140626
galaxy_a40_b10_c30_v1.col,40,10,30,1,797,757,49.4,0.2449,5.32895,2.3552,294.56494903564453,138.8713119506836
galaxy_a40_b10_c40_v1.col,40,10,40,1,1053,1013,53.2,0.3742,6.99872,1.1446,170.94284057617188,145.12722625732422
galaxy_a40_b10_c50_v1.col,40,10,50,1,1176,1136,54.8,0.3742,15.54841,6.175,530.1566390991211,249.059521484375
galaxy_a40_b10_c60_v1.col,40,10,60,1,1561,1521,66.8,0.3742,13.90723,2.9085,318.55017852783203,223.11954498291016
galaxy_a40_b10_c70_v1.col,40,10,70,1,1551,1511,69.2,0.2,9.34846,1.9676,233.18035125732422,145.31290588378906
galaxy_a40_b10_c80_v1.col,40,10,80,1,2093,2053,83.0,0.3162,27.39582,6.5451,448.41797637939453,304.74368743896486
galaxy_a40_b10_c90_v1.col,40,10,90,1,2157,2117,91.0,0.0,7.67412,0.5055,155.7050018310547,116.55890045166015
galaxy_a45_b10_c100_v1.col,45,10,100,1,2601,2556,102.0,0.0,13.75445,2.2047,185.55265045166016,139.07049865722655
galaxy_a45_b10_c20_v1.col,45,10,20,1,716,671,52.6,0.2449,5.71947,0.8642,204.96472930908203,157.81611328125
galaxy_a45_b10_c30_v1.col,45,10,30,1,933,888,55.4,0.4,6.79674,2.0117,230.9356918334961,148.2667495727539
galaxy_a45_b10_c40_v1.col,45,10,40,1,1267,1222,59.8,0.3742,9.50386,2.4286,265.91651916503906,167.12207641601563
galaxy_a45_b10_c50_v1.col,45,10,50,1,1467,1422,62.8,0.7348,16.00423,3.978,374.9985656738281,215.6252456665039
galaxy_a45_b10_c60_v1.col,45,10,60,1,1781,1736,70.4,0.2449,22.27382,8.1683,586.6757659912109,281.79808349609374
galaxy_a45_b10_c70_v1.col,45,10,70,1,1662,1617,70.0,0.0,6.64065,0.3126,173.70660400390625,124.6689682006836
galaxy_a45_b10_c80_v1.col,45,10,80,1,2167,2122,81.4,0.4,27.16541,4.4081,379.91700744628906,266.7373977661133
galaxy_a45_b10_c90_v1.col,45,10,90,1,2249,2204,88.8,0.2,20.67294,4.2243,311.8342819213867,218.8754898071289
galaxy_a50_b10_c100_v1.col,50,10,100,1,2731,2681,101.0,0.0,25.09905,6.5882,368.66854095458984,235.92271118164064
