instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a20_b10_c90_v2.col,20,10,90,2,1017,997,91.0,0.0,0.25038,0.0122
galaxy_a20_b10_c90_v3.col,20,10,90,3,841,821,87.0,0.0,0.2515,0.0619
galaxy_a20_b10_c90_v4.col,20,10,90,4,1028,1008,85.0,0.0,0.31187,0.0085
galaxy_a20_b10_c90_v5.col,20,10,90,5,1063,1043,88.0,0.0,0.32578,0.014
galaxy_a25_b10_c100_v1.col,25,10,100,1,1373,1348,99.2,0.2,0.84026,0.073
galaxy_a25_b10_c100_v2.col,25,10,100,2,1480,1455,98.0,0.0,0.57955,0.0162
galaxy_a25_b10_c100_v3.col,25,10,100,3,1574,1549,101.0,0.0,0.90036,0.1002
galaxy_a25_b10_c100_v4.col,25,10,100,4,1630,1605,101.0,0.0,0.79022,0.0585
galaxy_a25_b10_c100_v5.col,25,10,100,5,1456,1431,97.0,0.0,0.69868,0.0727
galaxy_a25_b10_c20_v1.col,25,10,20,1,387,362,35.2,0.2,0.11323,0.0092
galaxy_a25_b10_c20_v2.col,25,10,20,2,398,373,35.0,0.0,0.1153,0.0036
galaxy_a25_b10_c20_v3.col,25,10,20,3,403,378,35.2,0.2,0.11717,0.0077
galaxy_a25_b10_c20_v4.col,25,10,20,4,372,347,34.4,0.4,0.1063,0.0119
